gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,zone of skin,64.92666666666666,8.028183688315394,3,present_gold,MACROH2A2:VGNC:55987,variant,64.92666666666666,64.92666666666666
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,adipose tissue,73.39,0.0,1,present_gold,MACROH2A2:VGNC:81623,variant,73.39,73.39
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,adrenal cortex,59.38,0.9758073580374372,2,present_gold,MACROH2A2:VGNC:81623,variant,59.38,59.38
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,adrenal gland,67.655,3.542604973744597,2,present_gold,MACROH2A2:VGNC:81623,variant,67.655,67.655
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,adult mammalian kidney,80.08666666666666,19.250419043058088,3,present_gold,MACROH2A2:VGNC:81623,variant,80.08666666666666,80.08666666666666
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,blood,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:81623,variant,0.0,0.0
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,bone marrow,60.51,0.0,1,present_gold,MACROH2A2:VGNC:81623,variant,60.51,60.51
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,brain,64.945,3.302188668141178,2,present_gold,MACROH2A2:VGNC:81623,variant,64.945,64.945
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,cardiac muscle of left ventricle,59.78,0.0,1,present_gold,MACROH2A2:VGNC:81623,variant,59.78,59.78
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,cartilage tissue,54.64,0.0,1,present_gold,MACROH2A2:VGNC:81623,variant,54.64,54.64
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,cerebellum,82.5225,5.073857014146144,4,present_gold,MACROH2A2:VGNC:81623,variant,82.5225,82.5225
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,cerebral cortex,61.05,0.9192388155425149,2,present_gold,MACROH2A2:VGNC:81623,variant,61.05,61.05
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,colon,56.510000000000005,3.450681092190354,2,present_gold,MACROH2A2:VGNC:81623,variant,56.510000000000005,56.510000000000005
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,frontal cortex,64.7,6.663565111860166,3,present_gold,MACROH2A2:VGNC:81623,variant,64.7,64.7
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,granulocyte,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:81623,variant,0.0,0.0
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,hair follicle,42.56,0.0,1,present_gold,MACROH2A2:VGNC:81623,variant,42.56,42.56
MACROH2A2,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000014002,head,95.19333333333331,2.703855272260949,3,present_gold,MACROH2A2:VGNC:81623,variant,95.19333333333331,95.19333333333331
